64,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,0.000
65,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,0.000
67,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,0.000
68,5.0,148.0,2.0,0.0,0.714,1.000,0.013,0.840,0.833
69,3.0,90.0,0.0,3.0,1.000,0.500,0.000,0.696,0.667
72,1.0,1.0,0.0,0.0,1.000,1.000,0.000,1.000,1.000
73,3.0,46.0,9.0,1.0,0.250,0.750,0.164,0.366,0.375
74,0.0,6.0,1.0,0.0,0.000,0.000,0.143,0.000,0.000
75,3.0,15.0,0.0,1.0,1.000,0.750,0.000,0.839,0.857
76,0.0,5.0,0.0,0.0,0.000,0.000,0.000,0.000,0.000
77,0.0,6.0,1.0,1.0,0.000,0.000,0.143,-0.143,0.000
78,135.0,1874.0,51.0,35.0,0.726,0.794,0.026,0.737,0.758
79,5.0,1972.0,5.0,4.0,0.500,0.556,0.003,0.525,0.526
81,28.0,10843.0,28.0,4.0,0.500,0.875,0.003,0.660,0.636
82,33.0,1916.0,16.0,12.0,0.673,0.733,0.008,0.696,0.702
83,5.0,36.0,4.0,1.0,0.556,0.833,0.100,0.623,0.667
84,3.0,36.0,3.0,4.0,0.500,0.429,0.077,0.375,0.462
85,3.0,22.0,1.0,2.0,0.750,0.600,0.043,0.609,0.667
86,3.0,19.0,0.0,0.0,1.000,1.000,0.000,1.000,1.000
89,7.0,82.0,4.0,3.0,0.636,0.700,0.047,0.627,0.667
92,32.0,339.0,6.0,14.0,0.842,0.696,0.017,0.738,0.762
93,11.0,10314.0,3.0,4.0,0.786,0.733,0.000,0.759,0.759
94,9.0,267.0,1.0,5.0,0.900,0.643,0.004,0.751,0.750
95,58.0,1022.0,11.0,16.0,0.841,0.784,0.011,0.799,0.811
96,50.0,617.0,9.0,25.0,0.847,0.667,0.014,0.726,0.746
97,19.0,484.0,6.0,9.0,0.760,0.679,0.012,0.703,0.717
98,14.0,522.0,6.0,9.0,0.700,0.609,0.011,0.639,0.651
99,91.0,1808.0,33.0,30.0,0.734,0.752,0.018,0.726,0.743
100,15.0,47585.0,138.0,6.0,0.098,0.714,0.003,0.264,0.172
101,9.0,51394.0,169.0,8.0,0.051,0.529,0.003,0.163,0.092
102,14.0,47027.0,174.0,7.0,0.074,0.667,0.004,0.222,0.134
103,3.0,47367.0,138.0,7.0,0.021,0.300,0.003,0.079,0.040
104,3.0,42801.0,151.0,2.0,0.019,0.600,0.004,0.108,0.038
105,3.0,41855.0,124.0,4.0,0.024,0.429,0.003,0.100,0.045
106,61.0,43739.0,139.0,25.0,0.305,0.709,0.003,0.464,0.427
107,82.0,79640.0,239.0,32.0,0.255,0.719,0.003,0.427,0.377
108,31.0,97416.0,286.0,17.0,0.098,0.646,0.003,0.251,0.170
109,11.0,105535.0,316.0,22.0,0.034,0.333,0.003,0.105,0.061
110,5.0,77176.0,204.0,10.0,0.024,0.333,0.003,0.089,0.045
111,7.0,105044.0,235.0,7.0,0.029,0.500,0.002,0.120,0.055
112,7.0,91512.0,223.0,2.0,0.030,0.778,0.002,0.154,0.059
113,2.0,54773.0,126.0,5.0,0.016,0.286,0.002,0.066,0.030
114,14.0,42592.0,115.0,4.0,0.109,0.778,0.003,0.290,0.190
115,23.0,33334.0,195.0,8.0,0.106,0.742,0.006,0.278,0.185
116,13.0,39858.0,245.0,9.0,0.050,0.591,0.006,0.171,0.093
117,8.0,39880.0,210.0,7.0,0.037,0.533,0.005,0.139,0.069
118,25.0,40566.0,141.0,24.0,0.151,0.510,0.003,0.276,0.233
119,18.0,11678.0,29.0,7.0,0.383,0.720,0.002,0.524,0.500
